TransactionID,AccountID,TransactionAmount,TransactionDate,Location,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionFreq,TimeInterval,Channel_ATM,Channel_Branch,Channel_Online,Cluster,Fraud,FraudLabel,DBSCAN_Label,DBSCAN_Cluster,DBSCAN_Fraud,PCA_1,PCA_2,Cluster_KMeans_Optimized
TX000001,AC00128,14.089999999999975,2023-04-11 16:29:14,San Diego,81.0,1.0,5112.21,2024-11-04 08:08:08,7.0,572.6520138888889,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.1014893434659405,-1.180495840504024,1
TX000002,AC00455,376.24,2023-06-27 16:44:19,Houston,141.0,1.0,13758.91,2024-11-04 08:09:35,7.0,495.6425462962963,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.152475812713503,-1.189817824644894,1
TX000003,AC00019,126.28999999999999,2023-07-10 18:16:08,Mesa,56.0,1.0,1122.35,2024-11-04 08:07:04,4.0,482.57703703703703,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.47237296882236557,1.687352032110769,0
TX000004,AC00070,184.5,2023-05-05 16:32:11,Raleigh,25.0,1.0,8569.06,2024-11-04 08:09:06,8.0,548.650636574074,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.2485904887117257,1.740147413059953,0
TX000005,AC00411,13.449999999999989,2023-10-16 17:51:24,Atlanta,198.0,1.0,7429.4,2024-11-04 08:06:39,6.0,384.5939236111111,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.47694825206422775,1.7184661287580543,0
TX000006,AC00393,92.15,2023-04-03 17:15:01,Oklahoma City,172.0,1.0,781.6800000000003,2024-11-04 08:06:36,8.0,580.6191550925926,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.2343826467558878,-1.1934220285471404,1
TX000007,AC00199,7.079999999999984,2023-02-15 16:36:48,Seattle,139.0,1.0,13316.71,2024-11-04 08:10:09,1.0,627.6481597222222,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.26007379688187,-1.2205164180918715,1
TX000008,AC00069,171.42,2023-05-08 17:47:59,Indianapolis,291.0,1.0,2796.24,2024-11-04 08:10:55,7.0,545.5992592592593,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.4669612148232074,-0.4321674690559442,2
TX000009,AC00135,106.23000000000002,2023-03-21 16:59:46,Detroit,86.0,1.0,9095.14,2024-11-04 08:11:14,2.0,593.632962962963,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.6218854089096866,-0.44442984588405676,2
TX000010,AC00385,815.96,2023-03-31 16:06:57,Nashville,120.0,1.0,1021.8799999999997,2024-11-04 08:06:32,7.0,583.6663773148148,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.358672857355468,-1.2491130245527489,1
TX000011,AC00150,17.78000000000003,2023-03-14 16:46:10,Albuquerque,59.0,1.0,7599.52,2024-11-04 08:06:45,7.0,600.6392939814815,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.2917151986576744,1.7378255954918234,0
TX000012,AC00459,190.02000000000004,2023-02-06 17:30:00,Memphis,173.0,1.0,1528.81,2024-11-04 08:07:12,7.0,636.6091666666666,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.5192270711004908,1.703272851808202,0
TX000013,AC00392,494.52,2023-06-07 17:21:28,Mesa,111.0,1.0,1620.02,2024-11-04 08:08:38,3.0,515.616087962963,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.4625055458662182,-0.48175681230989814,2
TX000014,AC00264,781.76,2023-11-20 16:39:15,Memphis,123.0,1.0,189.6899999999996,2024-11-04 08:07:06,6.0,349.64434027777776,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.3941976683016595,-1.25816971943182,1
TX000015,AC00085,166.99,2023-02-13 16:53:57,Louisville,134.0,1.0,299.9300000000003,2024-11-04 08:10:09,6.0,629.63625,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.5149041240688899,1.695516263656877,0
TX000016,AC00270,465.45,2023-12-12 16:23:31,Denver,129.0,1.0,3465.54,2024-11-04 08:12:19,2.0,327.6588888888889,1.0,0.0,0.0,1,False,Not Fraud,0,Normal,Not Fraud,-1.42099969001344,-1.2658348510848707,1
TX000017,AC00317,555.8,2023-10-30 16:52:49,Austin,158.0,1.0,1131.2600000000002,2024-11-04 08:07:35,7.0,370.6352546296296,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.5146282031852327,-0.4534665932099261,2
TX000018,AC00359,492.93,2023-12-14 18:32:14,Columbus,234.0,1.0,5109.97,2024-11-04 08:11:51,6.0,325.56917824074077,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.6434075056178133,1.6768231598819343,0
TX000019,AC00242,18.680000000000007,2023-02-21 16:56:50,Albuquerque,106.0,1.0,7948.37,2024-11-04 08:12:01,9.0,621.6355439814815,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.8202300286796467,-0.3774887250627755,2
TX000020,AC00285,71.47999999999999,2023-06-08 18:18:50,Columbus,169.0,1.0,6568.59,2024-11-04 08:09:20,7.0,514.5767361111111,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.43580462417169086,1.7237339233337947,0
TX000021,AC00002,59.31999999999999,2023-02-28 16:36:58,Los Angeles,38.0,1.0,5750.89,2024-11-04 08:09:24,7.0,614.6475231481481,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.8021730794007005,-0.39918196082249074,2
TX000022,AC00014,85.76999999999998,2023-08-11 18:31:31,Las Vegas,93.0,1.0,9146.19,2024-11-04 08:08:13,9.0,450.5671527777778,0.0,1.0,0.0,2,False,Not Fraud,2,Suspicious 2,Not Fraud,1.8331447854626073,-0.3784348721233678,2
TX000023,AC00095,52.19999999999999,2023-06-06 18:54:15,Atlanta,120.0,1.0,8974.93,2024-11-04 08:07:01,8.0,516.5505324074074,0.0,0.0,1.0,0,False,Not Fraud,1,Suspicious 1,Not Fraud,-0.3212280132835869,1.7435489175370906,0
TX000024,AC00453,345.84,2023-05-02 18:25:46,Fort Worth,142.0,3.0,1402.5,2024-11-04 08:07:04,9.0,551.5703472222223,0.0,0.0,1.0,0,False,Not Fraud,-1,Fraud,Fraud,-0.481504412618436,1.7456055356690618,0
